Name,Key,Value,Type,Source,Category,Status
"vsl_video_url","vsl_video_url","https://www.youtube.com/watch?v=cdZJCrJ1ZxM",unknown,"not mapped",🎬 VSL Page,Filled
"testimonial_video_url","testimonial_video_url","x",unknown,"not mapped",⭐ Testimonial,Filled
"thankyou_video_url","thankyou_video_url","x",unknown,"not mapped",📄 Other,Filled
"survey_next_bg","survey_next_bg","#333333",unknown,"not mapped",📄 Other,Filled
"survey_next_btn_bg","survey_next_btn_bg","#ffffff",unknown,"not mapped",📄 Other,Filled
"survey_next_btn_txt","survey_next_btn_txt","#0d6efd",unknown,"not mapped",📄 Other,Filled
"TEst video","TEst video","https://storage.googleapis.com/msgsndr/F6NirXNNc04hNj7JcB3R/media/694308a32c8abe4226d28ed3.mp4",unknown,"not mapped",📄 Other,Filled
"fb_ad_headline_1","fb_ad_headline_1","Stuck trading time for money?",unknown,"not mapped",📄 Other,Filled
"fb_ad_primary_1","fb_ad_primary_1","Are you overwhelmed with client work and feel like you're the bottleneck in your business? 🤔 It's time to break free! Join our FREE training and discover how you can build a self-managing team that works for you. Imagine enjoying 4+ weeks of vacation while your agency grows! 🌴 With the Agency Liberation System, you’ll create standard operating procedures that maintain quality, implement recurring revenue models, and scale to $100K+ months. Sarah went from $25K to $85K/month in just 90 days! Ready to change your life? Click 'Learn More'!",unknown,"not mapped",📄 Other,Filled
"fb_ad_headline_2","fb_ad_headline_2","Escape the overwhelm now!",unknown,"not mapped",📄 Other,Filled
"fb_ad_primary_2","fb_ad_primary_2","What if I told you that you could take 4+ weeks of vacation while your agency grows? 🌴 Leave behind the stress of being the bottleneck and step into a world where you can hit $100K+ months consistently! With our Agency Liberation Program, you'll build a self-managing team and create effective SOPs. Imagine the freedom! Mike took a 3-week vacation and made MORE money while he was gone. Don't wait—download our FREE training to start your transformation today! 🚀",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Section Bullet 1 Text","02 VSL Process Section Bullet 1 Text","We clarify your goals and what success looks like so everyone is aligned from the start.",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Section Bullet 2 Text","02 VSL Process Section Bullet 2 Text","We identify the biggest obstacles and opportunities so we know exactly what to focus on first.",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Section Bullet 3 Text","02 VSL Process Section Bullet 3 Text","We create a simple, step-by-step plan that makes the path forward clear and achievable.",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Section Bullet 4 Text","02 VSL Process Section Bullet 4 Text","We put the plan into action and keep things moving so you start seeing measurable progress quickly.",unknown,"not mapped",📄 Other,Filled
"02 VSL Process Section Bullet 5 Text","02 VSL Process Section Bullet 5 Text","We review results and refine what’s working so improvements continue and outcomes compound over time.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 1 Paragraph Text","02 VSL Testimonial 1 Paragraph Text","I came in feeling stuck and unsure what to focus on. The process helped me get clear on my next steps and actually follow through without overthinking everything. It felt practical and supportive the whole way.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 1 Name Text","02 VSL Testimonial 1 Name Text","Maya R.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 2 Paragraph Text","02 VSL Testimonial 2 Paragraph Text","What I appreciated most was how straightforward it was. I didn’t feel talked down to or pushed into anything—just guided toward better decisions. I’m leaving with more confidence and a plan I can stick with.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 2 Name Text","02 VSL Testimonial 2 Name Text","Jordan K.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 3 Paragraph Text","02 VSL Testimonial 3 Paragraph Text","I was skeptical at first because I’ve tried similar things before. This felt different because it met me where I was and helped me make changes that fit my day-to-day life. I’m calmer and more consistent now.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 3 Name Text","02 VSL Testimonial 3 Name Text","Elena P.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 4 Paragraph Text","02 VSL Testimonial 4 Paragraph Text","The communication was clear and the support felt genuine. Whenever I got overwhelmed, I had a simple way to reset and keep moving. I’m really glad I gave it a chance.",unknown,"not mapped",📄 Other,Filled
"02 VSL Testimonial 4 Name Text","02 VSL Testimonial 4 Name Text","Sam T.",unknown,"not mapped",📄 Other,Filled
"02 Footer Company Name Text","02 Footer Company Name Text","Agency Liberation System™",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Subject 8","Optin_Email_Subject 8","{{contact.first_name}}, want me to map your bottleneck in 20 minutes?",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Body 8","Optin_Email_Body 8","<div style=""font-family: Arial, sans-serif; font-size: 16px; line-height: 1.6; color: #333333;""><p style=""margin: 0 0 15px 0;"">Hey {{contact.first_name}},</p>
<p style=""margin: 0 0 15px 0;"">You’ve gotten a handful of daily tips this week. If you’re anything like most agency owners, you’re probably thinking:</p>
<p style=""margin: 0 0 15px 0;"">“Yep… that’s me. But where do I start without breaking everything?”</p>
<p style=""margin: 0 0 15px 0;"">That’s exactly why a call helps.</p>
<p style=""margin: 0 0 15px 0;"">The Bottleneck Breakout Sprint isn’t theory—it’s a quick diagnostic that turns the messy, swirling problems into a simple sequence:</p>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">What’s the real constraint right now?</li>
</ol>
<ul style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">Is it delivery capacity?</li>
<li style=""margin: 5px 0;"">client comms and revisions?</li>
<li style=""margin: 5px 0;"">sales + fulfillment overlap?</li>
<li style=""margin: 5px 0;"">you being the final approver for everything?</li>
</ul>
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">What’s the smallest change that creates the biggest relief?</li>
</ol>
We’re looking for leverage. The kind that reduces the number of decisions you personally have to make every day.
<ol style=""margin: 10px 0; padding-left: 20px;"">
<li style=""margin: 5px 0;"">What should NOT be fixed yet?</li>
</ol>
This is the part founders love. Most “systems” fail because you try to standardize everything at once. We’ll identify the 1–2 things that actually matter first.
<p style=""margin: 0 0 15px 0;"">What you’ll leave with:<br><ul style=""margin: 10px 0; padding-left: 20px;""><br><li style=""margin: 5px 0;"">a clear bottleneck statement (so you stop guessing)</li><br><li style=""margin: 5px 0;"">a 7–14 day action plan you can execute with your current team</li><br><li style=""margin: 5px 0;"">decision rules you can copy/paste into Slack to reduce pings immediately</li><br></ul></p>
<p style=""margin: 0 0 15px 0;"">No pressure, no weird persuasion.<br>If it’s not a fit, I’ll tell you and still send you in the right direction.</p>
<p style=""margin: 0 0 15px 0;"">If you want that clarity, grab a time that works.</p>
<p style=""margin: 0 0 15px 0;"">Book your call here: [Schedule Link]</p></div>",unknown,"not mapped",📄 Other,Filled
"Optin_Email_Subject 15","Optin_Email_Subject 15","Final day: want your nights back?",unknown,"not mapped",📄 Other,Filled
